id,name,Hired,previous ctc,gender,Experience
1,Jaime,true,1578243,Male,3
2,Thacher,true,1026345,Male,6
3,Nanon,false,941219,Polygender,3
4,Merla,false,2317592,Female,2
5,Whit,false,1555847,Male,4
6,Rustin,true,727729,Male,1
7,Hugues,true,1741108,Male,10
8,Aluino,true,1362156,Male,2
9,Glenn,true,1651555,Female,7
10,Rosie,false,2367863,Female,3
11,Stace,true,1547289,Female,8
12,Meredith,true,2394024,Female,1
13,Cordula,false,978160,Female,4
14,Brett,false,2033656,Male,8
15,Artie,true,2237915,Male,6
16,Gwenette,false,1306146,Female,8
17,Dex,true,1175815,Male,6
18,Walsh,false,799061,Male,10
19,Lorry,false,914361,Male,4
20,Freda,false,1062264,Female,4
21,Chancey,false,2075891,Male,10
22,Gayle,true,1069931,Male,5
23,Vanya,true,2132736,Male,2
24,Beniamino,true,556327,Male,1
25,Rutter,true,1142873,Male,9
26,Tessa,false,939237,Female,3
27,Dalis,false,1274522,Male,4
28,Edna,true,1073213,Female,4
29,Rhodia,false,1148113,Female,10
30,Anson,true,1418063,Male,2
31,Manolo,false,1548625,Male,5
32,Richie,false,2365672,Male,10
33,Payton,false,1048212,Male,2
34,Dari,false,2148150,Genderfluid,8
35,Melba,false,2140347,Female,8
36,Mark,true,662547,Male,2
37,Siward,true,640385,Male,5
38,Marna,true,1718846,Female,4
39,Haley,true,617386,Male,9
40,Gustaf,false,1198583,Male,7
41,Doria,true,687445,Bigender,4
42,Danni,true,1869296,Female,6
43,Hughie,true,1242627,Male,1
44,Mark,true,1381809,Male,9
45,Gerard,false,1367166,Male,8
46,Adele,false,1782485,Female,10
47,Lem,false,2107943,Male,2
48,Eartha,true,1252786,Female,3
49,Kelby,true,1019606,Male,9
50,Bobbie,true,2067590,Male,5
51,Gertruda,false,639350,Female,1
52,Aurel,false,883197,Polygender,2
53,Emmy,false,1280362,Male,8
54,Arline,false,1007021,Female,1
55,Tremaine,true,974361,Male,4
56,Burke,false,1940430,Male,9
57,Alice,true,1851741,Female,1
58,Tully,false,1795108,Male,2
59,Aldric,false,2125184,Polygender,6
60,Ira,false,1961516,Agender,7
61,Pavel,true,1956642,Male,1
62,Juieta,true,2056501,Female,7
63,Aland,true,1270869,Male,5
64,Inna,false,1794513,Female,3
65,Jon,true,619590,Male,3
66,Aubrette,false,1222344,Polygender,4
67,Pace,true,1880288,Male,10
68,Graham,true,1132232,Male,10
69,Rinaldo,true,1914059,Male,3
70,Moselle,true,1003026,Genderqueer,5
71,Terrijo,true,869823,Female,8
72,Heywood,false,747467,Male,9
73,Tadd,true,1637969,Male,1
74,Matias,true,1054288,Male,5
75,Gertrud,true,1979697,Non-binary,1
76,Wynnie,true,586753,Female,9
77,Dicky,true,2017756,Male,10
78,Rozanna,false,1468489,Female,7
79,Jared,false,1576985,Male,7
80,Cirstoforo,false,1587134,Male,4
81,Niko,true,622812,Male,1
82,Edee,false,2209965,Genderqueer,10
83,Lettie,false,1068553,Female,6
84,Rivi,false,1920727,Female,1
85,Garrard,false,1693496,Male,2
86,Cosmo,false,1491621,Male,1
87,Cash,false,1160960,Polygender,10
88,Chrotoem,true,1957874,Male,1
89,Randie,false,1997825,Genderqueer,4
90,Ianthe,true,1560776,Female,7
91,Clive,true,1722672,Male,2
92,Leland,true,1025078,Female,8
93,Pammy,false,1455485,Female,6
94,Garv,true,1463543,Male,7
95,Mari,true,569786,Female,3
96,Mannie,false,949909,Male,9
97,Algernon,true,1898096,Agender,6
98,Etan,false,1481203,Male,6
99,Yul,false,820231,Male,5
100,Morse,false,647681,Genderfluid,8
